Ensembl_ID,protein_name,gene_name
ENSP00000432487,Protein SAAL1 (Synoviocyte proliferation-associated in collagen-induced arthritis protein 1) (SPACIA1),SAAL1
ENSP00000432561,Histatin-3 (Basic histidine-rich protein) (Hst) (Histidine-rich protein 3) (PB) [Cleaved into: Histatin-3; His3-(20-44)-peptide (His3 20/44) (His3-(1-25)-peptide) (His3 1/25) (Histatin-3 1/25) (Histatin-6); His3-(20-43)-peptide (His3 20/43) (His3-(1-24)-peptide) (His3 1/24) (Histatin-3 1/24) (Histatin-5); His3-(20-32)-peptide (His3 20/32) (His3-(1-13)-peptide) (His3 1/13) (Histatin-3 1/13); His3-(20-31)-peptide (His3 20/31) (His3-(1-12)-peptide) (His3 1/12) (Histatin-3 1/12); His3-(20-30)-peptide (His3 20/30) (His3-(1-11)-peptide) (His3 1/11) (Histatin-3 1/11); His3-(24-32)-peptide (His3 24/32) (His3-(5-13)-peptide) (His3 5/13) (Histatin-3 5/13); His3-(24-31)-peptide (His3 24/31) (His3-(5-12)-peptide) (His3 5/12) (Histatin-11) (Histatin-3 5/12); His3-(24-30)-peptide (His3 24/30) (His3-(5-11)-peptide) (His3 5/11) (Histatin-12) (Histatin-3 5/11); His3-(25-32)-peptide (His3 25/32) (His3-(6-13)-peptide) (His3 6/13) (Histatin-3 6/13); His3-(25-30)-peptide (His3 25/30) (His3-(6-11)-peptide) (His3 6/11) (Histatin-3 6/11); His3-(26-32)-peptide (His3 26/32) (His3-(7-13)-peptide) (His3 7/13) (Histatin-3 7/13); His3-(26-31)-peptide (His3 26/31) (His3-(7-12)-peptide) (His3 7/12) (Histatin-3 7/12); His3-(26-30)-peptide (His3 26/30) (His3-(7-11)-peptide) (His3 7/11) (Histatin-3 7/11); His3-(31-51)-peptide (His3 31/51) (His3-(12-32)-peptide) (His3 12/32) (Histatin-3 12/32) (Histatin-4); His3-(31-44)-peptide (His3 31/44) (His3-(12-25)-peptide) (His3 12/25) (Histatin-3 12/25) (Histatin-9); His3-(31-43)-peptide (His3 31/43) (His3-(12-24)-peptide) (His3 12/24) (Histatin-3 12/24) (Histatin-7); His3-(32-44)-peptide (His3 32/44) (His3-(13-25)-peptide) (His3 13/25) (Histatin-10) (Histatin-3 13/25); His3-(32-43)-peptide (His3 32-43) (His3-(13-24)-peptide) (His3 13/24) (Histatin-3 13/24) (Histatin-8); His3-(33-44)-peptide (His3 33/44) (His3-(14-25)-peptide) (His3 14/25) (Histatin-3 14/25); His3-(33-43)-peptide (His3 33/43) (His3-(14-24)-peptide) (His3 14/24) (Histatin-3 14/24); His3-(34-44)-peptide (His3 34/44) (His3-(15-25)-peptide) (His3 15/25) (Histatin-3 15/25); His3-(34-43)-peptide (His3 34/43) (His3-(15-24)-peptide) (His3 15/24) (Histatin-3 15/24); His3-(45-51)-peptide (His3 45/51) (His3-(26-32)-peptide) (His3 26/32) (Histatin-3 26/32); His3-(47-51)-peptide (His3 47/51) (His3-(28-32)-peptide) (His3 28/32) (Histatin-3 28/32); His3-(48-51)-peptide (His3 48/51) (His3-(29-32)-peptide) (His3 29/32) (Histatin-3 29/32)],HTN3 HIS2
ENSP00000432614,"NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2 (NDUFC2-KCTD14 readthrough transcript protein)",NDUFC2-KCTD14
ENSP00000432695,Probable tRNA methyltransferase 9B (Probable tRNA methyltransferase 9-like protein) (EC 2.1.1.-),TRMT9B C8orf79 KIAA1456 TRM9L
ENSP00000432743,p53-regulated apoptosis-inducing protein 1 (p53AIP1),TP53AIP1
ENSP00000432768,Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG),CKAP5 KIAA0097
ENSP00000432786,Lysine-specific demethylase 2A (EC 1.14.11.27) (CXXC-type zinc finger protein 8) (F-box and leucine-rich repeat protein 11) (F-box protein FBL7) (F-box protein Lilina) (F-box/LRR-repeat protein 11) (JmjC domain-containing histone demethylation protein 1A) ([Histone-H3]-lysine-36 demethylase 1A),KDM2A CXXC8 FBL11 FBL7 FBXL11 JHDM1A KIAA1004
ENSP00000432799,Mesencephalic astrocyte-derived neurotrophic factor (Arginine-rich protein) (Protein ARMET),MANF ARMET ARP
ENSP00000432816,Acrosomal protein SP-10 (Acrosomal vesicle protein 1),ACRV1
ENSP00000432845,RNA-binding protein MEX3A (RING finger and KH domain-containing protein 4),MEX3A RKHD4
ENSP00000433282,Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene B protein (Organic cation transporter-like protein 2 antisense protein) (Solute carrier family 22 member 1-like antisense protein) (Solute carrier family 22 member 18 antisense protein) (p27-Beckwith-Wiedemann region 1 B) (p27-BWR1B),SLC22A18AS BWR1B BWSCR1B ORCTL2S SLC22A1LS
ENSP00000433343,Protein FAM118B,FAM118B
ENSP00000433352,LIM domain only protein 7 (LMO-7) (F-box only protein 20) (LOMP),LMO7 FBX20 FBXO20 KIAA0858
ENSP00000433361,Transmembrane protein 9B,TMEM9B C11orf15 UNQ712/PRO1375
ENSP00000433378,Protocadherin alpha-6 (PCDH-alpha-6),PCDHA6 CNRS2
ENSP00000433427,ADP-ribosylation factor-like protein 15 (ADP-ribosylation factor-related protein 2) (ARF-related protein 2),ARL15 ARFRP2
ENSP00000433433,MAGE-like protein 2 (Necdin-like protein 1) (Protein nM15),MAGEL2 NDNL1
ENSP00000433459,CREB/ATF bZIP transcription factor (Host cell factor-binding transcription factor Zhangfei) (HCF-binding transcription factor Zhangfei),CREBZF ZF
ENSP00000433511,G protein-coupled receptor kinase 6 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK6),GRK6 GPRK6
ENSP00000433597,Nuclear pore complex-interacting protein family member A5,NPIPA5
ENSP00000433681,Condensin-2 complex subunit D3 (Non-SMC condensin II complex subunit D3) (hCAP-D3),NCAPD3 CAPD3 KIAA0056
ENSP00000433712,Shadow of prion protein (Protein shadoo),SPRN SHO
ENSP00000433757,Tetratricopeptide repeat protein 12 (TPR repeat protein 12),TTC12
ENSP00000433773,Zinc finger protein 585B (zinc finger protein 41-like protein),ZNF585B
ENSP00000433816,Tetraspanin-19 (Tspan-19),TSPAN19
ENSP00000433919,"Methylosome subunit pICln (Chloride channel, nucleotide sensitive 1A) (Chloride conductance regulatory protein ICln) (I(Cln)) (Chloride ion current inducer protein) (ClCI) (Reticulocyte pICln)",CLNS1A CLCI ICLN
ENSP00000433967,Transmembrane 9 superfamily member,
ENSP00000434034,Frizzled-4 (Fz-4) (hFz4) (FzE4) (CD antigen CD344),FZD4
ENSP00000434045,Ovarian cancer G-protein coupled receptor 1 (OGR-1) (G-protein coupled receptor 68) (GPR12A) (Sphingosylphosphorylcholine receptor),GPR68 OGR1
ENSP00000434142,Tumor protein D53 (hD53) (Tumor protein D52-like 1),TPD52L1
ENSP00000434241,Potassium voltage-gated channel subfamily C member 3 (KSHIIID) (Voltage-gated potassium channel subunit Kv3.3),KCNC3
ENSP00000434279,Transmembrane protease serine 13 (EC 3.4.21.-) (Membrane-type mosaic serine protease) (Mosaic serine protease),TMPRSS13 MSP TMPRSS11
ENSP00000434359,Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (FUSE-binding protein-interacting repressor) (FBP-interacting repressor) (Ro-binding protein 1) (RoBP1) (Siah-binding protein 1) (Siah-BP1),PUF60 FIR ROBPI SIAHBP1
ENSP00000434364,Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5),SLC6A5 GLYT2 NET1
ENSP00000434442,ADP-ribosylation factor GTPase-activating protein 2 (ARF GAP 2) (GTPase-activating protein ZNF289) (Zinc finger protein 289),ARFGAP2 ZNF289 Nbla10535
ENSP00000434466,Integrator complex subunit 4 (Int4),INTS4 MSTP093
ENSP00000434480,Alkaline ceramidase 3 (AlkCDase 3) (Alkaline CDase 3) (EC 3.5.1.-) (EC 3.5.1.23) (Alkaline dihydroceramidase SB89) (Alkaline phytoceramidase) (aPHC),ACER3 APHC PHCA
ENSP00000434508,Protein XNDC1N (XRCC1 N-terminal domain-containing 1 N-terminal like),XNDC1N
ENSP00000434516,"Thioredoxin reductase 1, cytoplasmic (TR) (EC 1.8.1.9) (Gene associated with retinoic and interferon-induced mortality 12 protein) (GRIM-12) (Gene associated with retinoic and IFN-induced mortality 12 protein) (KM-102-derived reductase-like factor) (Peroxidase TXNRD1) (EC 1.11.1.2) (Thioredoxin reductase TR1)",TXNRD1 GRIM12 KDRF
ENSP00000434614,Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC),CDC27 ANAPC3 D0S1430E D17S978E
ENSP00000434655,Protocadherin alpha-8 (PCDH-alpha-8),PCDHA8
ENSP00000434676,Inactive ubiquitin carboxyl-terminal hydrolase 50 (Inactive ubiquitin-specific peptidase 50),USP50
ENSP00000434724,"Coiled-coil domain-containing protein 90B, mitochondrial",CCDC90B CUA003 MDS011 MDS025
ENSP00000434849,Leucine-rich repeat-containing protein 24,LRRC24
ENSP00000434995,Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1),CLP1 HEAB
ENSP00000435096,40S ribosomal protein S25 (Small ribosomal subunit protein eS25),RPS25
ENSP00000435210,Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1),BCLAF1 BTF KIAA0164
ENSP00000435289,Platelet-activating factor acetylhydrolase IB subunit alpha2 (EC 3.1.1.47) (PAF acetylhydrolase 30 kDa subunit) (PAF-AH 30 kDa subunit) (PAF-AH subunit beta) (PAFAH subunit beta),PAFAH1B2 PAFAHB
ENSP00000435300,Protocadherin alpha-4 (PCDH-alpha-4),PCDHA4
ENSP00000435342,Retrotransposon-like protein 1 (Mammalian retrotransposon derived protein 1) (Paternally expressed gene 11 protein) (Retrotransposon-derived protein PEG11),RTL1 MAR1 MART1 PEG11
ENSP00000435412,Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1),RPS6KA1 MAPKAPK1A RSK1
ENSP00000435466,Kin of IRRE-like protein 3 (Kin of irregular chiasm-like protein 3) (Nephrin-like protein 2) [Cleaved into: Processed kin of IRRE-like protein 3],KIRREL3 KIAA1867 NEPH2 UNQ5923/PRO4502/PRO19814
ENSP00000435509,Zinc finger protein ZIC 4 (Zinc finger protein of the cerebellum 4),ZIC4
ENSP00000435550,Zinc finger C2HC domain-containing protein 1C,ZC2HC1C C14orf140 FAM164C
ENSP00000435619,EP300-interacting inhibitor of differentiation 3 (EID-3) (E1A-like inhibitor of differentiation 3) (EID-1-like inhibitor of differentiation 3) (Non-structural maintenance of chromosomes element 4 homolog B) (NS4EB) (Non-SMC element 4 homolog B),EID3
ENSP00000435634,Uncharacterized protein C1orf94,C1orf94
ENSP00000435777,40S ribosomal protein S13 (Small ribosomal subunit protein uS15),RPS13
ENSP00000435835,ETS homologous factor (hEHF) (ETS domain-containing transcription factor) (Epithelium-specific Ets transcription factor 3) (ESE-3),EHF ESE3 ESE3B ESEJ
ENSP00000435926,CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2),CELF1 BRUNOL2 CUGBP CUGBP1 NAB50
ENSP00000436005,Trafficking protein particle complex subunit 4 (Hematopoietic stem/progenitor cell protein 172) (Synbindin) (TRS23 homolog),TRAPPC4 SBDN CGI-104 HSPC172 PTD009
ENSP00000436042,Protocadherin alpha-9 (PCDH-alpha-9),PCDHA9 KIAA0345
ENSP00000436049,Eukaryotic translation initiation factor 3 subunit M (eIF3m) (Fetal lung protein B5) (hFL-B5) (PCI domain-containing protein 1),EIF3M HFLB5 PCID1 GA17 PNAS-125
ENSP00000436318,Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone),CCS
ENSP00000436376,Olfactory marker protein (Olfactory neuronal-specific protein),OMP
ENSP00000436424,Olfactory receptor 4D10 (Olfactory receptor OR11-251),OR4D10 OR4D10P
ENSP00000436426,Protocadherin alpha-7 (PCDH-alpha-7),PCDHA7 CNRS4
ENSP00000436450,Taste receptor type 2 member 46 (T2R46) (Taste receptor type 2 member 54) (T2R54),TAS2R46
ENSP00000436455,Nucleobindin-2 (DNA-binding protein NEFA) (Epididymis secretory protein Li 109) (Gastric cancer antigen Zg4) (Prepronesfatin) [Cleaved into: Nesfatin-1],NUCB2 NEFA
ENSP00000436557,Protocadherin alpha-5 (PCDH-alpha-5),PCDHA5 CNRS6
ENSP00000436585,Ethylmalonyl-CoA decarboxylase (EC 4.1.1.94) (Enoyl-CoA hydratase domain-containing protein 1) (Methylmalonyl-CoA decarboxylase) (MMCD),ECHDC1
ENSP00000436604,Polypeptide N-acetylgalactosaminyltransferase 4 (EC 2.4.1.41) (Polypeptide GalNAc transferase 4) (GalNAc-T4) (pp-GaNTase 4) (Protein-UDP acetylgalactosaminyltransferase 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 4),GALNT4
ENSP00000436682,Age-related maculopathy susceptibility protein 2,ARMS2
ENSP00000436691,Caspase recruitment domain-containing protein 18 (Caspase-1 inhibitor Iceberg),CARD18 ICEBERG UNQ5804/PRO19611
ENSP00000436714,Hydroxycarboxylic acid receptor 3 (G-protein coupled receptor 109B) (G-protein coupled receptor HM74) (G-protein coupled receptor HM74B) (Niacin receptor 2) (Nicotinic acid receptor 2),HCAR3 GPR109B HCA3 HM74B NIACR2
ENSP00000436786,Histone-lysine N-methyltransferase 2A (Lysine N-methyltransferase 2A) (EC 2.1.1.364) (ALL-1) (CXXC-type zinc finger protein 7) (Cysteine methyltransferase KMT2A) (EC 2.1.1.-) (Myeloid/lymphoid or mixed-lineage leukemia) (Myeloid/lymphoid or mixed-lineage leukemia protein 1) (Trithorax-like protein) (Zinc finger protein HRX) [Cleaved into: MLL cleavage product N320 (N-terminal cleavage product of 320 kDa) (p320); MLL cleavage product C180 (C-terminal cleavage product of 180 kDa) (p180)],KMT2A ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1
ENSP00000436812,"Mucin-5B (MUC-5B) (Cervical mucin) (High molecular weight salivary mucin MG1) (Mucin-5 subtype B, tracheobronchial) (Sublingual gland mucin)",MUC5B MUC5
ENSP00000436897,Small integral membrane protein 3 (NGF-induced differentiation clone 67 protein) (Small membrane protein NID67),SMIM3 C5orf62 NID67
ENSP00000436901,"Zinc finger protein ubi-d4 (Apoptosis response zinc finger protein) (BRG1-associated factor 45D) (BAF45D) (D4, zinc and double PHD fingers family 2) (Protein requiem)",DPF2 BAF45D REQ UBID4
ENSP00000436926,Nuclear factor related to kappa-B-binding protein (DNA-binding protein R kappa-B) (INO80 complex subunit G),NFRKB INO80G
ENSP00000437073,Unconventional myosin-XVIIIa (Molecule associated with JAK3 N-terminus) (MAJN) (Myosin containing a PDZ domain) (Surfactant protein receptor SP-R210) (SP-R210),MYO18A CD245 KIAA0216 MYSPDZ TIAF1
ENSP00000437409,GRB2-related adapter protein-like,GRAPL
ENSP00000437464,F-box/LRR-repeat protein 17 (F-box and leucine-rich repeat protein 17) (F-box only protein 13),FBXL17 FBL17 FBX13 FBXO13
ENSP00000437812,Protein FAM106A,FAM106A
ENSP00000437940,B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19),CD19
ENSP00000437968,HEAT repeat-containing protein 5A,HEATR5A C14orf125 KIAA1316
ENSP00000438042,Sphingomyelin synthase-related protein 1 (SMSr) (EC 2.7.8.-) (Ceramide phosphoethanolamine synthase) (CPE synthase) (Sterile alpha motif domain-containing protein 8) (SAM domain-containing protein 8),SAMD8
ENSP00000438144,"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Aromatic alpha-keto acid reductase) (KAR) (EC 1.1.1.96) (Cytosolic malate dehydrogenase)",MDH1 MDHA
ENSP00000438204,Mitochondrial import receptor subunit TOM5 homolog,TOMM5 C9orf105 TOM5
ENSP00000438205,MANSC domain-containing protein 1 (Loss of heterozygosity 12 chromosomal region 3 protein),MANSC1 LOH12CR3 UNQ316/PRO361
ENSP00000438244,Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65),KLRF2
ENSP00000438262,Tight junction protein ZO-2 (Tight junction protein 2) (Zona occludens protein 2) (Zonula occludens protein 2),TJP2 X104 ZO2
ENSP00000438284,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A (EC 3.1.4.17)",PDE10A
ENSP00000438346,Receptor expression-enhancing protein 1 (Spastic paraplegia 31 protein),REEP1 C2orf23 SPG31
ENSP00000438349,Multifunctional methyltransferase subunit TRM112-like protein (tRNA methyltransferase 112 homolog),TRMT112 AD-001 HSPC152 HSPC170
ENSP00000438455,Mitochondrial import inner membrane translocase subunit Tim8 B (DDP-like protein) (Deafness dystonia protein 2),TIMM8B DDP2 DDPL TIM8B
ENSP00000438465,"Serine/threonine-protein phosphatase PGAM5, mitochondrial (EC 3.1.3.16) (Bcl-XL-binding protein v68) (Phosphoglycerate mutase family member 5)",PGAM5
ENSP00000438468,Protein-cysteine N-palmitoyltransferase HHAT (EC 2.3.1.-) (Hedgehog acyltransferase) (Melanoma antigen recognized by T-cells 2) (MART-2) (Skinny hedgehog protein 1),HHAT MART2 SKI1
ENSP00000438526,Kelch-like protein 35,KLHL35
ENSP00000438788,Cullin-7 (CUL-7),CUL7 KIAA0076
ENSP00000438815,Olfactory receptor 13C2 (Olfactory receptor OR9-12),OR13C2
ENSP00000438863,Proton-activated chloride channel (PAC) (hPAC) (Acid-sensitive outwardly-rectifying anion channel) (ASOR) (Proton-activated outwardly rectifying anion channel) (PAORAC) (Transmembrane protein 206) (hTMEM206),PACC1 C1orf75 TMEM206
ENSP00000438875,RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Onconeural ventral antigen 1) (Paraneoplastic Ri antigen) (Ventral neuron-specific protein 1),NOVA1
ENSP00000438949,Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4),CACNB4 CACNLB4
ENSP00000439056,HAUS augmin-like complex subunit 5,HAUS5 KIAA0841
ENSP00000439065,Kinesin light chain,
ENSP00000439128,Barrier-to-autointegration factor-like protein (BAF-L) (Barrier-to-autointegration factor 2),BANF2 BAFL C20orf179
ENSP00000439182,Unconventional myosin-Ih (Myosin-1H),MYO1H
ENSP00000439189,"POTE ankyrin domain family member E (ANKRD26-like family C member 1A) (Prostate, ovary, testis-expressed protein on chromosome 2) (POTE-2)",POTEE A26C1A POTE2
ENSP00000439287,Regulating synaptic membrane exocytosis protein 4 (RIM4 gamma) (Rab3-interacting molecule 4) (RIM 4),RIMS4 C20orf190
ENSP00000439444,Peptidyl-prolyl cis-trans isomerase A-like 4D (PPIase A-like 4D) (EC 5.2.1.8),PPIAL4D
ENSP00000439467,Programmed cell death protein 2 (Zinc finger MYND domain-containing protein 7) (Zinc finger protein Rp-8),PDCD2 RP8 ZMYND7
ENSP00000439856,Calcium homeostasis endoplasmic reticulum protein (ERPROT 213-21) (SR-related CTD-associated factor 6),CHERP DAN26 SCAF6
ENSP00000440045,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",ATP2A2 ATP2B
ENSP00000440190,Tudor domain-containing protein 3,TDRD3
ENSP00000440207,TBC1 domain family member 30,TBC1D30 KIAA0984
ENSP00000440273,SH2B adapter protein 2 (Adapter protein with pleckstrin homology and Src homology 2 domains) (SH2 and PH domain-containing adapter protein APS),SH2B2 APS
ENSP00000440374,Guanine nucleotide exchange factor DBS (DBL's big sister) (MCF2-transforming sequence-like protein),MCF2L KIAA0362 OST
ENSP00000440485,26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27),PSMD9
ENSP00000440638,Transmembrane protein 216,TMEM216 HSPC244
ENSP00000440704,Synaptotagmin-like protein 1 (Exophilin-7) (Protein JFC1),SYTL1 SLP1 SB146
ENSP00000440765,Methyltransferase-like 26,METTL26 JFP2 C16orf13
ENSP00000440832,Calcium channel flower homolog (Calcium channel flower domain-containing protein 1),CACFD1 C9orf7 PSEC0107 PSEC0248 UNQ3071/PRO9903
ENSP00000440847,Zinc finger protein 185 (LIM domain protein ZNF185) (P1-A),ZNF185
ENSP00000440896,Inactive phospholipase D5 (Inactive PLD 5) (Inactive choline phosphatase 5) (Inactive phosphatidylcholine-hydrolyzing phospholipase D5) (PLDc),PLD5
ENSP00000440915,Mitochondrial ribonuclease P catalytic subunit (EC 3.1.26.5) (Mitochondrial ribonuclease P protein 3) (Mitochondrial RNase P protein 3) (Protein only RNase P catalytic subunit),PRORP KIAA0391 MRPP3
ENSP00000441000,"Valine--tRNA ligase, mitochondrial (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS) (Valyl-tRNA synthetase-like)",VARS2 KIAA1885 VARS2L VARSL
ENSP00000441032,Protein Aster-A (GRAM domain-containing protein 1A),GRAMD1A KIAA1533
ENSP00000441269,Solute carrier organic anion transporter family member,
ENSP00000441354,Olfactory receptor 4D2 (B-lymphocyte membrane protein BC2009) (Olfactory receptor OR17-24),OR4D2
ENSP00000441365,MARVEL domain-containing protein 1,MARVELD1 MRVLDC1
ENSP00000441410,Zinc finger protein 135 (Zinc finger protein 61) (Zinc finger protein 78-like 1),ZNF135 ZNF61 ZNF78L1
ENSP00000441600,C-C chemokine receptor type 3 (C C CKR3) (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR 3) (CKR3) (Eosinophil eotaxin receptor) (CD antigen CD193),CCR3 CMKBR3
ENSP00000441624,Taste receptor type 2 member 20 (Taste receptor type 2 member 49) (T2R49) (Taste receptor type 2 member 56) (T2R56),TAS2R20 TAS2R49
ENSP00000441691,Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b),ITGAM CD11B CR3A
ENSP00000441802,Protocadherin-7 (Brain-heart protocadherin) (BH-Pcdh),PCDH7 BHPCDH
ENSP00000441823,Sal-like protein 3 (Zinc finger protein 796) (Zinc finger protein SALL3) (hSALL3),SALL3 ZNF796
ENSP00000441828,Haptoglobin-related protein,HPR
ENSP00000441858,DmX-like protein 2 (Rabconnectin-3),DMXL2 KIAA0856
ENSP00000441875,Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity),PHB2 BAP REA
ENSP00000441927,Sestrin-3 (EC 1.11.1.-),SESN3 SEST3
ENSP00000441929,Mucin-12 (MUC-12) (Mucin-11) (MUC-11),MUC12 MUC11
ENSP00000441949,Taste receptor type 2 member 14 (T2R14) (Taste receptor family B member 1) (TRB1),TAS2R14
ENSP00000441954,Mothers against decapentaplegic homolog 5 (MAD homolog 5) (Mothers against DPP homolog 5) (JV5-1) (SMAD family member 5) (SMAD 5) (Smad5) (hSmad5),SMAD5 MADH5
ENSP00000442046,Protein O-mannosyl-transferase TMTC1 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 1),TMTC1 ARG99
ENSP00000442050,Ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine transferase),PCYT2
ENSP00000442068,Cell division cycle-associated protein 3 (Gene-rich cluster protein C8) (Trigger of mitotic entry protein 1) (TOME-1),CDCA3 C8 GRCC8 TOME1
ENSP00000442304,Erythroferrone (Complement C1q tumor necrosis factor-related protein 15) (Myonectin),ERFE C1QTNF15 CTRP15 FAM132B
ENSP00000442308,NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4),NKRF ITBA4 NRF
ENSP00000442373,Probable palmitoyltransferase ZDHHC11B (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 11B) (DHHC-11B),ZDHHC11B
ENSP00000442464,Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Acetylalkylglycerol acetylhydrolase) (2-acetyl MAGE hydrolase) (EC 3.1.1.71) (Arylacetamide deacetylase-like 1),NCEH1 AADACL1 KIAA1363
ENSP00000442477,Acid-sensing ion channel 5 (ASIC5) (Amiloride-sensitive cation channel 5) (Human intestine Na(+) channel) (HINaC),ASIC5 ACCN5 HINAC
ENSP00000442521,Protein BEX2 (Brain-expressed X-linked protein 2) (hBex2),BEX2
ENSP00000442563,"DNA polymerase subunit gamma-2, mitochondrial (DNA polymerase gamma accessory 55 kDa subunit) (p55) (Mitochondrial DNA polymerase accessory subunit) (MtPolB) (PolG-beta)",POLG2 MTPOLB
ENSP00000442656,Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2),ACVR1B ACVRLK4 ALK4
ENSP00000442688,Molybdate-anion transporter (Major facilitator superfamily domain-containing protein 5) (Molybdate transporter 2 homolog) (hsMOT2),MFSD5 UNQ832/PRO1759
ENSP00000442736,Plexin-B3,PLXNB3 KIAA1206 PLXN6
ENSP00000442770,GPN-loop GTPase 3 (ATP-binding domain 1 family member C),GPN3 ATPBD1C AD-009 UNQ1876/PRO4319
ENSP00000442793,Protein BEAN1 (Brain-expressed protein associating with Nedd4 homolog) (BEAN),BEAN1
ENSP00000442795,"Myosin-binding protein C, cardiac-type (Cardiac MyBP-C) (C-protein, cardiac muscle isoform)",MYBPC3
ENSP00000443130,SDHAF2,
ENSP00000443168,Saitohin,STH
ENSP00000443189,Uncharacterized protein,
ENSP00000443191,Kelch-like protein 13 (BTB and kelch domain-containing protein 2),KLHL13 BKLHD2 KIAA1309
ENSP00000443194,Arylamine N-acetyltransferase 1 (EC 2.3.1.5) (Arylamide acetylase 1) (Monomorphic arylamine N-acetyltransferase) (MNAT) (N-acetyltransferase type 1) (NAT-1),NAT1 AAC1
ENSP00000443246,2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain),
ENSP00000443411,CBY1-interacting BAR domain-containing protein 2 (Protein FAM92B),CIBAR2 FAM92B
ENSP00000443432,"Indoleamine 2,3-dioxygenase 2 (IDO-2) (EC 1.13.11.-) (Indoleamine 2,3-dioxygenase-like protein 1) (Indoleamine-pyrrole 2,3-dioxygenase-like protein 1)",IDO2 INDOL1
ENSP00000443459,"Branched-chain-amino-acid aminotransferase, cytosolic (BCAT(c)) (EC 2.6.1.42) (Protein ECA39)",BCAT1 BCT1 ECA39
ENSP00000443824,E3 ubiquitin-protein ligase ZNRF3 (EC 2.3.2.27) (RING finger protein 203) (RING-type E3 ubiquitin transferase ZNRF3) (Zinc/RING finger protein 3),ZNRF3 KIAA1133 RNF203
ENSP00000443985,Cytoplasmic polyadenylation element-binding protein 2 (CPE-BP2) (CPE-binding protein 2) (hCPEB-2),CPEB2
